,newlyConst,balcony,hasKitchen,cellar,baseRent,livingSpace,lift,noRooms,garden,heating,neighbourhoods
8588,True,True,True,True,1685.0,105.0,True,4.0,False,normal,Weißensee
8590,False,False,False,False,329.0,33.0,False,1.0,False,normal,Reinickendorf
8618,False,True,True,True,1159.0,69.17,True,2.0,False,normal,Charlottenburg
8694,True,False,True,False,990.0,35.45,False,1.0,False,normal,Mitte
8714,False,False,False,False,800.0,93.0,True,3.0,False,normal,Steglitz
8715,False,True,False,False,830.0,90.13,False,3.0,False,normal,Köpenick
8755,False,True,False,False,1131.0,47.13,False,2.0,False,normal,Kreuzberg
8761,False,True,True,False,645.0,46.0,False,1.5,False,normal,Wilmersdorf
8798,False,True,False,False,505.0,40.07,False,1.0,False,normal,Wilmersdorf
8819,True,True,True,False,810.0,73.05,True,2.0,False,normal,Köpenick
8830,False,False,True,False,838.0,43.1,True,1.0,False,normal,Tiergarten
8886,False,True,True,True,1440.0,142.0,False,5.5,True,normal,Tempelhof
8996,False,True,False,True,603.28,64.66,True,2.0,False,normal,Pankow
9002,False,True,True,True,597.0,47.79,True,2.0,False,normal,Köpenick
9014,False,True,True,True,1450.0,80.0,False,2.0,False,normal,Charlottenburg
9055,False,True,True,True,8700.0,274.0,True,5.0,False,normal,Charlottenburg
9065,False,True,False,True,1230.0,88.0,True,3.0,False,normal,Wilmersdorf
9085,True,True,True,True,1503.07,84.68,True,3.0,False,normal,Tiergarten
9086,True,True,True,True,1168.7,86.57,True,3.0,False,normal,Köpenick
9154,False,False,False,False,1175.0,75.0,False,3.0,False,normal,Mitte
9204,False,True,True,False,2000.0,114.0,True,4.0,False,normal,Berg_Prenzlauer_Berg
9233,False,True,True,False,1506.47,114.3,False,5.0,False,normal,Wilmersdorf
9242,False,True,False,False,1468.48,112.96,False,4.0,False,normal,Steglitz
9250,False,False,False,False,550.0,55.0,False,2.0,False,normal,Reinickendorf
9398,True,True,True,True,1931.8,104.14,True,4.0,False,normal,Tiergarten
9430,False,True,True,True,1785.0,119.0,True,4.0,False,normal,Charlottenburg
9496,False,True,False,True,688.02,74.38,False,3.0,False,normal,Köpenick
9548,False,False,False,True,1380.0,113.0,True,4.0,False,normal,Wilmersdorf
9564,False,False,False,False,767.0,59.0,False,2.0,False,normal,Kreuzberg
9584,True,True,True,True,1131.92,97.83,True,3.0,False,normal,Treptow
9609,False,True,False,True,729.0,52.19,False,2.0,False,normal,Neukölln
9665,False,True,True,True,322.63,43.0,True,1.0,False,high,Neukölln
9668,False,True,True,True,3500.0,272.0,False,5.0,True,high,Wilmersdorf
9687,False,False,True,False,673.0,30.38,True,1.0,False,normal,Wedding
9706,False,True,True,False,594.0,65.82,True,2.0,False,normal,Wedding
9730,False,True,True,True,911.0,104.68,False,4.0,False,normal,Spandau
9799,False,True,False,False,418.13,68.49,False,3.0,False,normal,Marzahn
9802,False,True,True,True,1350.0,84.0,False,3.0,False,normal,Charlottenburg
9977,False,True,False,False,793.0,61.0,True,2.0,False,normal,Wilmersdorf
10011,False,False,True,False,583.54,76.0,False,3.0,False,normal,Charlottenburg
10012,False,True,True,True,895.32,82.9,True,3.0,False,normal,Köpenick
10019,False,True,True,True,1900.0,94.0,True,3.0,False,normal,Mitte
10034,True,True,True,True,2700.0,90.0,True,3.0,False,normal,Wilmersdorf
10035,False,True,True,True,1950.0,99.47,True,3.0,True,normal,Mitte
10037,False,True,True,True,1250.0,91.0,False,3.0,False,normal,Charlottenburg
10040,False,False,False,False,551.25,31.5,True,1.0,False,normal,Kreuzberg
10075,False,False,False,True,495.0,55.0,False,2.0,True,low,Buchholz_Pankow
10120,False,True,True,True,722.0,75.0,False,2.0,True,normal,Köpenick
10145,False,True,True,False,759.0,69.09,True,2.0,False,normal,Tempelhof
10168,True,True,True,True,2128.0,133.0,True,3.0,False,normal,Weißensee
10205,False,False,True,True,1001.78,97.26,False,4.0,False,normal,Steglitz
10212,False,True,True,False,2000.0,135.0,True,4.0,False,normal,Charlottenburg
10252,False,False,True,False,4480.0,256.0,True,5.0,False,normal,Charlottenburg
10263,False,True,True,True,2170.0,130.0,True,2.0,False,normal,Mitte
10307,False,True,False,False,1994.1,117.3,True,3.0,False,normal,Mitte
10323,True,True,True,True,1086.8,65.47,True,2.0,True,normal,Tiergarten
10371,False,True,False,False,341.24,50.78,False,2.0,False,normal,Reinickendorf
10400,False,True,True,True,1121.15,65.95,True,2.0,False,normal,Tiergarten
10432,True,True,True,True,856.0,61.41,True,2.0,False,normal,Tempelhof
10434,False,False,False,False,1110.0,74.0,False,2.0,False,normal,Friedrichshain
10440,False,False,False,True,875.0,35.0,False,1.0,False,normal,Wilmersdorf
10466,False,True,False,True,557.45,53.86,False,2.0,False,normal,Spandau
10481,True,True,False,True,1750.0,143.0,True,4.0,False,normal,Pankow
